"Entity","Superclass(es)","ChemSpider","HMDB","KEGG","PubChemCID","InChIKey","InChICode","FOBI"
"naringenin 4-sulfate","Flavanones",NA,NA,NA,"11078674","LQAWJBRSYCPTLK-ZDUSSCGKSA-N","InChI=1S/C15H12O8S/c16-9-5-11(17)15-12(18)7-13(22-14(15)6-9)8-1-3-10(4-2-8)23-24(19,20)21/h1-6,13,16-17H,7H2,(H,19,20,21)/t13-/m0/s1","FOBI:08703"
"naringenin 5-sulfate","Flavanones",NA,NA,NA,NA,"TUKMNFQGFNNJQM-UHFFFAOYSA-O","InChI=1S/C15H12O8S/c16-9-3-1-8(2-4-9)12-7-11(18)15-13(22-12)5-10(17)6-14(15)23-24(19,20)21/h1-6,12,16-17H,7H2,(H,19,20,21)/p+1","FOBI:08704"
"naringenin 7-sulfate","Flavanones",NA,NA,NA,NA,"LCXKYLMSILXZFG-ZDUSSCGKSA-N","InChI=1S/C15H12O8S/c16-9-3-1-8(2-4-9)13-7-12(18)15-11(17)5-10(6-14(15)22-13)23-24(19,20)21/h1-6,13,16-17H,7H2,(H,19,20,21)/t13-/m0/s1","FOBI:08705"
"urolithin a 3-glucuronide","Phenolic glycosides",NA,NA,NA,"102579638","KXBXNRJGUDTJQS-KSPMYQCISA-N","InChI=1S/C19H16O10/c20-7-1-3-9-10-4-2-8(6-12(10)28-18(26)11(9)5-7)27-19-15(23)13(21)14(22)16(29-19)17(24)25/h1-6,13-16,19-23H,(H,24,25)/t13-,14-,15+,16-,19+/m0/s1","FOBI:08706"
"urolithin a 8-glucuronide","Phenolic glycosides",NA,NA,NA,"131708293","QMPHAAMUHRNZSL-KSPMYQCISA-N","InChI=1S/C19H16O10/c20-7-1-3-10-9-4-2-8(6-11(9)18(26)28-12(10)5-7)27-19-15(23)13(21)14(22)16(29-19)17(24)25/h1-6,13-16,19-23H,(H,24,25)/t13-,14-,15+,16-,19+/m0/s1","FOBI:08707"
"urolithin a 3-sulfate","Coumarins and derivatives",NA,NA,NA,NA,"WMPNAWQWWZFJTQ-UHFFFAOYSA-N","InChI=1S/C13H8O7S/c14-7-1-3-9-10-4-2-8(20-21(16,17)18)6-12(10)19-13(15)11(9)5-7/h1-6,14H,(H,16,17,18)","FOBI:08708"
"urolithin a 8-sulfate","Coumarins and derivatives",NA,NA,NA,NA,"WMPNAWQWWZFJTQ-UHFFFAOYSA-N","InChI=1S/C13H8O7S/c14-7-1-3-9-10-4-2-8(20-21(16,17)18)6-12(10)19-13(15)11(9)5-7/h1-6,14H,(H,16,17,18)","FOBI:08709"
"5-(4’-hydroxyphenyl)-γ-valerolactone 4-glucuronide","Phenolic glycosides",NA,NA,NA,NA,"FTDMUGVYLIJMHW-JLBGVFTDSA-N","InChI=1S/C17H20O9/c18-11-6-5-10(24-11)7-8-1-3-9(4-2-8)25-17-14(21)12(19)13(20)15(26-17)16(22)23/h1-4,10,12-15,17,19-21H,5-7H2,(H,22,23)/t10?,12-,13?,14?,15-,17+/m0/s1","FOBI:08710"
"5-(4’-hydroxyphenyl)-γ-valerolactone","1-hydroxy-2-unsubstituted benzenoids",NA,NA,NA,NA,"OXASBXALVLRTKO-UHFFFAOYSA-N","InChI=1S/C11H12O3/c12-9-3-1-8(2-4-9)7-10-5-6-11(13)14-10/h1-4,10,12H,5-7H2","FOBI:08711"
"4-hydroxy-5-(3,5-dihydroxyphenyl)-valeric acid","Medium-chain hydroxy acids and derivatives",NA,NA,NA,NA,"QKRQBODPNMXFLS-QMMMGPOBSA-N","InChI=1S/C11H14O5/c12-8(1-2-11(15)16)3-7-4-9(13)6-10(14)5-7/h4-6,8,12-14H,1-3H2,(H,15,16)/t8-/m0/s1","FOBI:08803"
"4-hydroxy-5-(3,5-dihydroxyphenyl)-valeric acid glucuronide","Saccharolipids",NA,NA,NA,NA,"WLNKHXJGCCKROC-ZWLNVBLQSA-N","InChI=1S/C17H22O11/c18-8(1-2-11(20)21)3-7-4-9(19)6-10(5-7)27-17-14(24)12(22)13(23)15(28-17)16(25)26/h4-6,8,12-15,17-19,22-24H,1-3H2,(H,20,21)(H,25,26)/t8?,12-,13?,14?,15-,17+/m0/s1","FOBI:08804"
"4-hydroxy-5-(3,5-dihydroxyphenyl)-valeric acid sulfate","Resorcinols",NA,NA,NA,NA,"KZIXDBSFYKKBMP-UHFFFAOYSA-N","InChI=1S/C11H14O8S/c12-8(1-2-11(14)15)3-7-4-9(13)6-10(5-7)19-20(16,17)18/h4-6,8,12-13H,1-3H2,(H,14,15)(H,16,17,18)","FOBI:08805"
"3,4-dihydroxyphenylvaleric acid","Catechols",NA,NA,NA,"49831816","KTDWBJGUMIZRHU-UHFFFAOYSA-N","InChI=1S/C11H14O4/c12-9-6-5-8(7-10(9)13)3-1-2-4-11(14)15/h5-7,12-13H,1-4H2,(H,14,15)","FOBI:08806"
"3,4-dihydroxyphenylvaleric acid 3 glucuronide","Saccharolipids",NA,NA,NA,NA,"PFXCVFMGZFVRNQ-IASGZQPQSA-N","InChI=1S/C17H22O10/c18-9-6-5-8(3-1-2-4-11(19)20)7-10(9)26-17-14(23)12(21)13(22)15(27-17)16(24)25/h5-7,12-15,17-18,21-23H,1-4H2,(H,19,20)(H,24,25)/t12-,13?,14?,15-,17+/m0/s1","FOBI:08807"
"3,4-dihydroxyphenylvaleric acid 3 sulfate","Catechols",NA,NA,NA,NA,"OUPGXCOAIUBOQD-UHFFFAOYSA-N","InChI=1S/C11H14O7S/c12-9-6-5-8(3-1-2-4-11(13)14)7-10(9)18-19(15,16)17/h5-7,12H,1-4H2,(H,13,14)(H,15,16,17)","FOBI:08808"
"3,4-dihydroxyphenylvaleric acid 4 glucuronide","Saccharolipids",NA,NA,NA,NA,"UGIYSEJJABCPSW-NQKOESPWSA-N","InChI=1S/C17H22O10/c18-9-7-8(3-1-2-4-11(19)20)5-6-10(9)26-17-14(23)12(21)13(22)15(27-17)16(24)25/h5-7,12-15,17-18,21-23H,1-4H2,(H,19,20)(H,24,25)/t12-,13?,14?,15-,17+/m1/s1","FOBI:08809"
"3,4-dihydroxyphenylvaleric acid 4 sulfate","Catechols",NA,NA,NA,NA,"CABZBRSEXWBGOQ-UHFFFAOYSA-N","InChI=1S/C11H14O7S/c12-9-7-8(3-1-2-4-11(13)14)5-6-10(9)18-19(15,16)17/h5-7,12H,1-4H2,(H,13,14)(H,15,16,17)","FOBI:08810"
"3,5-dihydroxyphenylvaleric acid","Resorcinols",NA,NA,NA,NA,"QHXNJIMVPAFCPR-UHFFFAOYSA-N","InChI=1S/C11H14O4/c12-9-5-8(6-10(13)7-9)3-1-2-4-11(14)15/h5-7,12-13H,1-4H2,(H,14,15)","FOBI:08811"
"3,5-dihydroxyphenylvaleric acid glucuronide","Saccharolipids",NA,NA,NA,NA,"RLPWWOIWKYLCFU-IASGZQPQSA-N","InChI=1S/C17H22O10/c18-9-5-8(3-1-2-4-11(19)20)6-10(7-9)26-17-14(23)12(21)13(22)15(27-17)16(24)25/h5-7,12-15,17-18,21-23H,1-4H2,(H,19,20)(H,24,25)/t12-,13?,14?,15-,17+/m0/s1","FOBI:08812"
"3,5-dihydroxyphenylvaleric acid sulfate","Resorcinols",NA,NA,NA,NA,"GXGQOCNOANVHKV-UHFFFAOYSA-N","InChI=1S/C11H14O7S/c12-9-5-8(3-1-2-4-11(13)14)6-10(7-9)18-19(15,16)17/h5-7,12H,1-4H2,(H,13,14)(H,15,16,17)","FOBI:08813"
"3,5-dihydroxycinnamic acid","Hydroxycinnamic acids","4947733",NA,NA,"6443769","MFFCZSWTQMCKFP-OWOJBTEDSA-N","InChI=1S/C9H8O4/c10-7-3-6(1-2-9(12)13)4-8(11)5-7/h1-5,10-11H,(H,12,13)/b2-1+","FOBI:08814"
"3,5-dihydroxycinnamic acid glucuronide","Phenolic glycosides",NA,NA,NA,NA,"YIAFSKCUHLQEAH-MEPLRXLMSA-N","InChI=1S/C15H16O10/c16-7-3-6(1-2-9(17)18)4-8(5-7)24-15-12(21)10(19)11(20)13(25-15)14(22)23/h1-5,10-13,15-16,19-21H,(H,17,18)(H,22,23)/b2-1+/t10-,11?,12?,13-,15+/m1/s1","FOBI:08815"
"3,5-dihydroxycinnamic acid sulfate","Phenylsulfates",NA,NA,NA,NA,"KTPBHOMURDURSV-OWOJBTEDSA-N","InChI=1S/C9H8O7S/c10-7-3-6(1-2-9(11)12)4-8(5-7)16-17(13,14)15/h1-5,10H,(H,11,12)(H,13,14,15)/b2-1+","FOBI:08816"
"n-(3,5-dihydroxybenzoyl)glycine","Hippuric acids",NA,NA,NA,"71389989","RJGLFRQXIDISBX-UHFFFAOYSA-N","InChI=1S/C9H9NO5/c11-6-1-5(2-7(12)3-6)9(15)10-4-8(13)14/h1-3,11-12H,4H2,(H,10,15)(H,13,14)","FOBI:08817"
"alanine betaine","Alanine and derivatives",NA,NA,NA,"78265175","CJKONRHMUGBAQI-YFKPBYRVSA-N","InChI=1S/C6H13NO2/c1-5(6(8)9)7(2,3)4/h5H,1-4H3/t5-/m0/s1","FOBI:08818"
"valine betaine","Alpha amino acids",NA,NA,NA,NA,"REWYJJRDEOKNBQ-ZETCQYMHSA-O","InChI=1S/C8H17NO2/c1-6(2)7(8(10)11)9(3,4)5/h6-7H,1-5H3/p+1/t7-/m0/s1","FOBI:08819"
"phenylalanine betaine","Phenylalanine and derivatives",NA,NA,NA,"25837691","XTFQIRIHLGODFV-NSHDSACASA-N","InChI=1S/C12H17NO2/c1-13(2,3)11(12(14)15)9-10-7-5-4-6-8-10/h4-8,11H,9H2,1-3H3/t11-/m0/s1","FOBI:08820"
"pipecolic acid betaine","Alpha amino acids","390180",NA,NA,"441447","XULZWQRXYTVUTE-ZETCQYMHSA-N","InChI=1S/C8H15NO2/c1-9(2)6-4-3-5-7(9)8(10)11/h7H,3-6H2,1-2H3/t7-/m0/s1","FOBI:08821"
"phytic acid","Inositol phosphates","866","HMDB03502",NA,"890","IMQLKJBTEOYOSI-UHFFFAOYSA-N","InChI=1S/C6H18O24P6/c7-31(8,9)25-1-2(26-32(10,11)12)4(28-34(16,17)18)6(30-36(22,23)24)5(29-35(19,20)21)3(1)27-33(13,14)15/h1-6H,(H2,7,8,9)(H2,10,11,12)(H2,13,14,15)(H2,16,17,18)(H2,19,20,21)(H2,22,23,24)","FOBI:08822"
"benzoic acid","Benzoic acids",NA,"HMDB0001870","C00539",NA,"WPYMKLBDIGXBTP-UHFFFAOYSA-N",NA,"FOBI:050001"
"2,6-dihydroxybenzoic acid glucuronide","Phenolic glycosides",NA,NA,NA,NA,"UNZWRTIHFRATTA-UHFFFAOYSA-N",NA,"FOBI:050002"
"2,3-dihydroxybenzoic acid 2-sulfate","Phenylsulfates",NA,NA,NA,NA,"AKVBVZKHKYRBGR-UHFFFAOYSA-N",NA,"FOBI:050003"
"2,4-dihydroxybenzoic acid 2-sulfate","Phenylsulfates",NA,NA,NA,NA,"QHDLTZVVAZWIPB-UHFFFAOYSA-N",NA,"FOBI:050004"
"2,5-dihydroxybenzoic acid 2-sulfate","Phenylsulfates",NA,NA,NA,NA,"KCEDAVRJNCRNGJ-UHFFFAOYSA-N",NA,"FOBI:050005"
"2,6-dihydroxybenzoic acid sulfate","Phenylsulfates",NA,NA,NA,NA,"OBLLRWZSZCYGCW-UHFFFAOYSA-N",NA,"FOBI:050006"
"phenylacetic acid","Phenylacetic acids",NA,"HMDB0000209","C07086",NA,"WLJVXDMOQOGPHL-UHFFFAOYSA-N",NA,"FOBI:050007"
"trans-cinnamic acid","Cinnamic acids",NA,"HMDB0000930","C10438 ",NA,"WBYWAXJHAXSJNI-VOTSOKGWSA-N",NA,"FOBI:050008"
"cis p-coumaric acid","Hydroxycinnamic acids",NA,"HMDB0030677","C06738",NA,"NGSWKAQJJWESNS-UTCJRWHESA-N",NA,"FOBI:050009"
"cis p-coumaric acid glucuronide","Phenolic glycosides",NA,NA,NA,NA,"SOKJXEKPKWKYKR-ARYKGQTKSA-N",NA,"FOBI:050010"
"cis p-coumaric acid sulfate","Cinnamic acids",NA,NA,NA,NA,"OYDCCWNLILCHDJ-UTCJRWHESA-N",NA,"FOBI:050011"
"cis ferulic acid","Hydroxycinnamic acids",NA,NA,NA,NA,"KSEBMYQBYZTDHS-HYXAFXHYSA-N",NA,"FOBI:050012"
"cis ferulic acid 4-glucuronide","Phenolic glycosides",NA,NA,NA,NA,"TWSIWBHKRJLZCF-XGYWJOOESA-N",NA,"FOBI:050013"
"cis ferulic acid 4-sulfate","Cinnamic acids",NA,NA,NA,NA,"PZPATWACAAOHTJ-HYXAFXHYSA-N",NA,"FOBI:050014"
"cis sinapic acid","Hydroxycinnamic acids",NA,"HMDB0034069",NA,NA,"PCMORTLOPMLEFB-ARJAWSKDSA-N",NA,"FOBI:050015"
"phenylpropionic acid","Phenylpropanoic acids",NA,"HMDB0000764","C05629",NA,"XMIIGOLPHOKFCH-UHFFFAOYSA-N",NA,"FOBI:050016"
"3-(2-hydroxyphenyl)propionic acid","Phenylpropanoic acids",NA,"HMDB0033752","C01198 ",NA,"CJBDUOMQLFKVQC-UHFFFAOYSA-N",NA,"FOBI:050017"
"3-(2-hydroxyphenyl)propionic acid glucuronide","Phenolic glycosides",NA,NA,NA,NA,"VNFALAKTVPEPJX-UHFFFAOYSA-N",NA,"FOBI:050018"
"3-(2-hydroxyphenyl)propionic acid sulfate","Phenylsulfates",NA,NA,NA,NA,"GFRZSBZWGKDEGA-UHFFFAOYSA-N",NA,"FOBI:050019"
"3-(3,5-dihydroxyphenyl)pentanoic acid","Resorcinols",NA,"HMDB0240450",NA,NA,"QHXNJIMVPAFCPR-UHFFFAOYSA-N",NA,"FOBI:050020"
"3-(3,5-dihydroxyphenyl)pentanoic acid glucuronide","Phenolic glycosides",NA,"HMDB0240451",NA,NA,"RLPWWOIWKYLCFU-IASGZQPQSA-N",NA,"FOBI:050021"
"3-(3,5-dihydroxyphenyl)pentanoic acid sulfate","Sulfated fatty acids",NA,"HMDB0240452",NA,NA,"GXGQOCNOANVHKV-UHFFFAOYSA-N",NA,"FOBI:050022"
"2-(3,5-dihydroxyphenyl)ethanol sulfate","Phenylsulfates",NA,NA,NA,NA,"QGXITCCVKOBDDI-UHFFFAOYSA-N",NA,"FOBI:050023"
"catechin 3-glucuronide","Flavonoid-3-O-glucuronides",NA,"HMDB0240434",NA,NA,"KZOBTPYFLMPYPM-UKDLGEHVSA-N",NA,"FOBI:050024"
"catechin 7-glucuronide","Flavonoid-7-O-glucuronides",NA,"HMDB0127727",NA,NA,"FDWDKTKDGDLDTP-QCBBCZTKSA-N",NA,"FOBI:050025"
"catechin 3-glucuronide","Flavonoid O-glucuronides",NA,"HMDB0127728",NA,NA,"BUONZQIZWIITTB-FSDQAXRCSA-N",NA,"FOBI:050026"
"epicatechin 3-glucuronide","Flavonoid-3-O-glucuronides",NA,"HMDB0240435",NA,NA,"KZOBTPYFLMPYPM-NRZZOOGVSA-N",NA,"FOBI:050027"
"catechin 3-sulfate","Catechins",NA,"HMDB0240437",NA,NA,"FLSYXGAHKYHTCZ-LSDHHAIUSA-N",NA,"FOBI:050028"
"catechin 7-sulfate","Catechins",NA,"HMDB0240436",NA,NA,"RTMISWLJQDWIPT-DZGCQCFKSA-N",NA,"FOBI:050029"
"matairesinol","Dibenzylbutyrolactone lignans",NA,"HMDB0035698","C10682 ",NA,"MATGKVZWFZHCLI-LSDHHAIUSA-N",NA,"FOBI:050030"
"hydroxymatairesinol 4-glucuronide","Lignan glycosides",NA,NA,NA,NA,"GUJNNQFVFGFZPK-UHFFFAOYSA-N",NA,"FOBI:050031"
"hydroxymatairesinol 4-glucuronide","Lignan glycosides",NA,NA,NA,NA,"HUFQFNXBADQYPW-UHFFFAOYSA-N",NA,"FOBI:050032"
"hydroxymatairesinol 7-glucuronide","Lignan glycosides",NA,NA,NA,NA,"CHGHIPGTRZZHEK-UHFFFAOYSA-N",NA,"FOBI:050033"
"secoisolariciresinol","Dibenzylbutanediol lignans",NA,"HMDB0013692","C18167 ",NA,"PUETUDUXMCLALY-HOTGVXAUSA-N",NA,"FOBI:050034"
"secoisolariciresinol 9-glucuronide","Lignan glycosides",NA,NA,NA,NA,"MONLZYFGSVIHQC-UHFFFAOYSA-N",NA,"FOBI:050035"
"secoisolariciresinol 4-glucuronide","Lignan glycosides",NA,NA,NA,NA,"KEJQZUWQIORRTE-UHFFFAOYSA-N",NA,"FOBI:050036"
"secoisolariciresinol 9-sulfate","Dibenzylbutanediol lignans",NA,NA,NA,NA,"FGMVDFZVCZUDGI-UHFFFAOYSA-N",NA,"FOBI:050037"
"secoisolariciresinol 4-sulfate","Dibenzylbutanediol lignans",NA,NA,NA,NA,"UYIGCUYDCWYJAR-UHFFFAOYSA-N",NA,"FOBI:050038"
"isolariciresinol 9-glucuronide","Lignan glycosides",NA,NA,NA,NA,"WMJINTSGOMLXDT-UHFFFAOYSA-N",NA,"FOBI:050039"
"isolariciresinol 9-glucuronide","Lignan glycosides",NA,NA,NA,NA,"RVMYIRMLUMZKLQ-UHFFFAOYSA-N",NA,"FOBI:050040"
"isolariciresinol 4-glucuronide","Lignan glycosides",NA,NA,NA,NA,"VWNRXGBNZAPMCJ-UHFFFAOYSA-N",NA,"FOBI:050041"
"isolariciresinol 9-sulfate","Aryltetralin lignans",NA,NA,NA,NA,"QNELQQQFSCPAJP-UHFFFAOYSA-N",NA,"FOBI:050042"
"isolariciresinol 9-sulfate","Aryltetralin lignans",NA,NA,NA,NA,"IHFCQBGVSIXPDS-UHFFFAOYSA-N",NA,"FOBI:050043"
"isolariciresinol 4-sulfate","Aryltetralin lignans",NA,NA,NA,NA,"CKOBBDMKLAJVHB-UHFFFAOYSA-N",NA,"FOBI:050044"
"lariciresinol 9-sulfate","7,9-epoxylignans",NA,NA,NA,NA,"BGUMMAWETHOVOG-UHFFFAOYSA-N",NA,"FOBI:050045"
"lariciresinol 4-sulfate","7,9-epoxylignans",NA,NA,NA,NA,"NVHDQFSKGFJRQV-UHFFFAOYSA-N",NA,"FOBI:050046"
"lariciresinol 4-sulfate","7,9-epoxylignans",NA,NA,NA,NA,"CYLGJKHAMHUFLA-UHFFFAOYSA-N",NA,"FOBI:050047"
"pinoresinol glucuronide","Lignan glycosides",NA,NA,NA,NA,"HUUUQHZJAPVLRH-UHFFFAOYSA-N",NA,"FOBI:050048"
"pinoresinol sulfate","Furanoid lignans",NA,NA,NA,NA,"ODEQQZORHQBZKE-UHFFFAOYSA-N",NA,"FOBI:050049"
"syringaresinol glucuronide","Lignan glycosides",NA,NA,NA,NA,"ARWUARNRTRQSHW-UHFFFAOYSA-N",NA,"FOBI:050050"
"syringaresinol sulfate","Furanoid lignans",NA,NA,NA,NA,"ABKGSMJYGPRITK-UHFFFAOYSA-N",NA,"FOBI:050051"
"medioresinol 4-sulfate","Furanoid lignans",NA,NA,NA,NA,"CNEMQJLKVHMVEC-UHFFFAOYSA-N",NA,"FOBI:050052"
"medioresinol 4-sulfate","Furanoid lignans",NA,NA,NA,NA,"TXGJJYHARFIBHU-UHFFFAOYSA-N",NA,"FOBI:050053"
"2-hydroxy-N-(2-hydroxyphenyl)acetamide","Anilides",NA,"HMDB0240370",NA,NA,"OYHOCUAXXOWENX-UHFFFAOYSA-N",NA,"FOBI:050054"
"2-hydroxy-N-(2-hydroxyphenyl)acetamide glucuronide","Phenolic glycosides",NA,"HMDB0240379",NA,NA,"FGIQLOOXJCVVDO-BYNIDDHOSA-N",NA,"FOBI:050055"
"2-hydroxy-N-(2-hydroxyphenyl)acetamide sulfate","Phenylsulfates",NA,"HMDB0240380",NA,NA,"DJBPGIGCPUYIGS-UHFFFAOYSA-N",NA,"FOBI:050056"
"2-hydroxy-7-methoxy-1,4-benzoxazin-3-one glucuronide","Benzoxazinones",NA,NA,NA,NA,"XKCARXNTRUGKNV-CSHDOIFSSA-N",NA,"FOBI:050057"
"2-hydroxy-7-methoxy-1,4-benzoxazin-3-one sulfate","Benzoxazinones",NA,NA,NA,NA,"LIVXQZBSLFQWSH-UHFFFAOYSA-N",NA,"FOBI:050058"
"2,4-dihydroxy-7-methoxy-1,4-benzoxazin-3-one glucuronide","Benzoxazinones",NA,NA,NA,NA,"BKFNTANIRVOYGT-UHFFFAOYSA-N",NA,"FOBI:050059"
"2,4-dihydroxy-7-methoxy-1,4-benzoxazin-3-one sulfate","Benzoxazinones",NA,NA,NA,NA,"BKFNTANIRVOYGT-UHFFFAOYSA-N",NA,"FOBI:050060"
"Avenanthramide A","Avenanthramides",NA,"HMDB0038577","C08472",NA,"QGUMNWHANDITDB-FPYGCLRLSA-N",NA,"FOBI:050061"
"Avenanthramide B","Avenanthramides",NA,"HMDB0038575",NA,NA,"JXFZHMCSCYADIX-XVNBXDOJSA-N",NA,"FOBI:050062"
"Avenanthramide C","Avenanthramides",NA,"HMDB0038576",NA,NA,"IDUUXROOZBOOPH-QHHAFSJGSA-N",NA,"FOBI:050063"
"Avenanthramide O","Acylaminobenzoic acid and derivatives",NA,"HMDB0033193",NA,NA,"FRNDILDQFSAXAR-ZPUQHVIOSA-N",NA,"FOBI:050064"
"Avenanthramide P","Acylaminobenzoic acid and derivatives",NA,NA,NA,NA,"UXYPQEDKRALATQ-ZUVMSYQZSA-N",NA,"FOBI:050065"
"Avenanthramide Q","Acylaminobenzoic acid and derivatives",NA,NA,NA,NA,"ICQWGSPTLPRZPP-ZPUQHVIOSA-N",NA,"FOBI:050066"
"Avenacoside A","Steroidal saponins",NA,"HMDB0033815","C08887",NA,"AAJHVVLGKCKBSH-UHFFFAOYSA-N",NA,"FOBI:050067"
"Avenacoside B","Steroidal saponins",NA,"HMDB0033802","C08888",NA,"FINVSZXHUNAWLI-UHFFFAOYSA-N",NA,"FOBI:050068"
"2,5-furandicarboxylic acid","Furoic acids",NA,"HMDB0004812","C20450",NA,"CHTHALBTIRVDBM-UHFFFAOYSA-N",NA,"FOBI:050069"
"furaneol","Furanones",NA,"HMDB0040594",NA,NA,"INAXVXBDKKUCGI-UHFFFAOYSA-N",NA,"FOBI:050070"
"2,5-dimethylfuran-3-one","Furanones",NA,"HMDB0032233",NA,NA,"ASOSVCXGWPDUGN-UHFFFAOYSA-N",NA,"FOBI:050071"
"N6-carboxymethyllysine","L-alpha-amino acids",NA,"HMDB0240347",NA,NA,"NUXSIDPKKIEIMI-LURJTMIESA-N",NA,"FOBI:050072"
"syringol","Methoxyphenols",NA,"HMDB0034158","C10787",NA,"KLIDCXVFHGNTTM-UHFFFAOYSA-N",NA,"FOBI:050073"
"4-methylsyringol","Methoxyphenols",NA,"HMDB0029680",NA,NA,"ZFBNNSOJNZBLLS-UHFFFAOYSA-N",NA,"FOBI:050074"
"4-allylsyringol","Methoxyphenols",NA,"HMDB0041194",NA,NA,"FWMPKHMKIJDEMJ-UHFFFAOYSA-N",NA,"FOBI:050075"
"2-amino-3H-phenoxazin-3-one","Phenoxazines",NA,"HMDB0030483","C02161",NA,"RDJXPXHQENRCNG-UHFFFAOYSA-N",NA,"FOBI:050076"
"2-amino-7-methoxy-3H-phenoxazin-3-one","Phenoxazines",NA,NA,NA,NA,"DDHPPCVMQOXUFB-UHFFFAOYSA-N",NA,"FOBI:050077"
"2-acetylamino-3H-phenoxazin-3-one","Phenoxazines",NA,"HMDB0240369",NA,NA,"DWOBTNSFRDZSMA-UHFFFAOYSA-N",NA,"FOBI:050078"
"2-acetylamino-7-methoxy-3H-phenoxazin-3-one","Phenoxazines",NA,NA,NA,NA,"DOTQQODPKREUTR-UHFFFAOYSA-N",NA,"FOBI:050079"
"hypaphorine","L-alpha-amino acids",NA,"HMDB0061115","C09213",NA,"AOHCBEAZXHZMOR-ZDUSSCGKSA-N",NA,"FOBI:050080"
"aminovaleric acid betaine","Straight chain fatty acids",NA,NA,NA,NA,"CDLVFVFTRQPQFU-UHFFFAOYSA-N",NA,"FOBI:050081"
"salsolinol","Tetrahydroisoquinolines",NA,"HMDB0042012","C09642",NA,"IBRKLUSXDYATLG-LURJTMIESA-N",NA,"FOBI:050082"
"salsolinol 7-sulfate","Tetrahydroisoquinolines",NA,NA,NA,NA,"MQMJQDWEMNNNLR-UHFFFAOYSA-N",NA,"FOBI:050083"
"salsolinol 6-sulfate","Tetrahydroisoquinolines",NA,NA,NA,NA,"DFPNWHGWIXZYTR-UHFFFAOYSA-N",NA,"FOBI:050084"
